pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,10/3/22,93,-2.29,6.41,"Mikolas, Miles",609280,571945,field_out,hit_into_play,,,,,6,Miguel Andujar grounds out to first baseman Paul Goldschmidt.,R,R,R,PIT,STL,X,3,ground_ball,2,2,2022,-1.38,1.07,0.53,2.13,,668804,,2,6,Bot,153.69,164.47,,,668800,,,10.18060136,-134.8046457,-7.459708435,-19.08580175,30.16923392,-17.58190768,3.23,1.56,5,82.1,-23,92.3,2218,6.1,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.37,0.043,0.039,0,1,0,0,2,49,5,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,220,-0.061,-0.26
CU,10/3/22,76,-1.77,6.77,"Mikolas, Miles",609280,571945,,ball,,,,,14,Miguel Andujar grounds out to first baseman Paul Goldschmidt.,R,R,R,PIT,STL,B,,,1,2,2022,0.67,-1.47,1.43,1.02,,668804,,2,6,Bot,,,,,668800,,,5.484608429,-110.4932958,-2.140643141,4.16822465,24.22831478,-43.80724423,3.08,1.43,,,,75.2,2536,6.3,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.22,,,,,,,,49,4,Curveball,1,2,1,2,2,1,1,2,Standard,Standard,13,0,0.029
CU,10/3/22,75,-1.94,6.75,"Mikolas, Miles",609280,571945,,foul,,,,,1,Miguel Andujar grounds out to first baseman Paul Goldschmidt.,R,R,R,PIT,STL,S,,,1,1,2022,0.8,-1.58,-0.43,2.86,,668804,,2,6,Bot,,,,,668800,,,1.704355262,-108.9621669,2.127700949,5.836567728,24.19989086,-45.2878022,3.23,1.56,43,96.7,-2,73.7,2593,6,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.46,,,,,,,,49,3,Curveball,1,2,1,2,2,1,1,2,Standard,Standard,33,0,-0.067
SL,10/3/22,85.1,-1.98,6.61,"Mikolas, Miles",609280,571945,,blocked_ball,,,,,14,Miguel Andujar grounds out to first baseman Paul Goldschmidt.,R,R,R,PIT,STL,B,,,0,1,2022,0.44,0.37,1.39,0.96,,668804,,2,6,Bot,,,,,668800,,,6.990923314,-123.5777628,-7.60045981,3.017110653,26.59218063,-26.98706694,3.18,1.46,,,,84.6,2322,6.2,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.26,,,,,,,,49,2,Slider,1,2,1,2,2,1,1,2,Standard,Standard,121,0,0.03
SL,10/3/22,85.2,-2.05,6.73,"Mikolas, Miles",609280,571945,,called_strike,,,,,6,Miguel Andujar grounds out to first baseman Paul Goldschmidt.,R,R,R,PIT,STL,S,,,0,0,2022,0.35,0.3,0.33,2.29,,668804,,2,6,Bot,,,,,668800,,,4.882416841,-123.9020161,-4.683011501,2.573230176,25.27557322,-28.33888614,3.18,1.43,,,,84.9,2386,6.2,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.31,,,,,,,,49,1,Slider,1,2,1,2,2,1,1,2,Standard,Standard,132,0,-0.046
SL,10/3/22,86.4,-2.01,6.65,"Mikolas, Miles",663647,571945,field_out,hit_into_play,,,,,5,Ke'Bryan Hayes lines out to right fielder Lars Nootbaar.,R,R,R,PIT,STL,X,9,line_drive,0,1,2022,0.36,0.23,0.23,2.22,,668804,,1,6,Bot,165.77,97.68,,,668800,,,4.574283234,-125.7459143,-4.773761009,2.848160559,25.51719288,-28.98773291,3.22,1.54,271,94.8,15,85.9,2393,6,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.52,0.817,0.826,0,1,0,0,4,48,2,Slider,1,2,1,2,2,1,1,2,Standard,Standard,181,-0.061,-0.29
FF,10/3/22,91.7,-1.92,6.78,"Mikolas, Miles",663647,571945,,called_strike,,,,,6,Ke'Bryan Hayes lines out to right fielder Lars Nootbaar.,R,R,R,PIT,STL,S,,,0,0,2022,-0.24,1.4,0.38,2.62,,668804,,1,6,Bot,,,,,668800,,,6.297507812,-133.1907899,-7.60748268,-4.253285213,30.62770648,-14.02537961,3.22,1.46,,,,91,2297,6.1,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.37,,,,,,,,48,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,209,0,-0.043
FF,10/3/22,93.4,-2,6.66,"Mikolas, Miles",668804,571945,double,hit_into_play,,,,,5,Bryan Reynolds doubles (18) on a sharp fly ball to center fielder Dylan Carlson.   Jason Delay scores.,R,L,R,PIT,STL,X,8,fly_ball,1,2,2022,-0.63,1.24,-0.12,2.47,,641511,,1,6,Bot,83.21,57.34,,,668800,,,6.200176143,-135.8028088,-7.750263997,-9.179666515,28.3277405,-15.31071496,3.16,1.53,354,101.9,30,93.2,2284,6.1,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.41,0.634,1.242,1.25,1,1,1,6,47,5,4-Seam Fastball,0,2,0,2,2,1,1,2,Strategic,Standard,213,0.148,1.061
FF,10/3/22,91.5,-1.8,6.76,"Mikolas, Miles",668804,571945,,foul,,,,,11,Bryan Reynolds doubles (18) on a sharp fly ball to center fielder Dylan Carlson.   Jason Delay scores.,R,L,R,PIT,STL,S,,,1,2,2022,-0.5,1.25,-0.07,3.94,,641511,,1,6,Bot,,,,,668800,,,5.416430278,-133.0795499,-3.908278533,-7.089261687,28.80108031,-16.72522559,3.16,1.53,214,75.5,46,91.2,2237,6.1,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.37,,,,,,,,47,4,4-Seam Fastball,0,2,0,2,2,0,0,2,Strategic,Standard,206,0,0
CU,10/3/22,75.9,-1.68,6.73,"Mikolas, Miles",668804,571945,,foul,,,,,14,Bryan Reynolds doubles (18) on a sharp fly ball to center fielder Dylan Carlson.   Jason Delay scores.,R,L,R,PIT,STL,S,,,1,1,2022,0.86,-1.33,0.38,1.17,,641511,,1,6,Bot,,,,,668800,,,2.752096811,-110.4122689,-2.065294262,6.392707766,22.77093004,-42.74595401,3.16,1.53,9,80.9,-9,75.3,2489,6.3,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.24,,,,,,,,47,3,Curveball,0,2,0,2,2,0,0,2,Strategic,Standard,22,0,-0.082
